RuleID,Commit,File,SymlinkFile,Secret,Match,StartLine,EndLine,StartColumn,EndColumn,Author,Message,Date,Email,Fingerprint,Tags
github-pat,,github-token.txt,,ghp_123456789012345678901234567890123456,ghp_123456789012345678901234567890123456,1,1,1,40,,,,,github-token.txt:github-pat:1,
github-pat,,report.json,,ghp_123456789012345678901234567890123456,ghp_123456789012345678901234567890123456,9,9,14,53,,,,,report.json:github-pat:9,
github-pat,,report.json,,ghp_123456789012345678901234567890123456,ghp_123456789012345678901234567890123456,10,10,15,54,,,,,report.json:github-pat:10,
github-pat,,report.json,,ghp_1234567890abcdef1234567890abcdef1234,ghp_1234567890abcdef1234567890abcdef1234,29,29,27,66,,,,,report.json:github-pat:29,
github-pat,,report.json,,ghp_1234567890abcdef1234567890abcdef1234,ghp_1234567890abcdef1234567890abcdef1234,30,30,15,54,,,,,report.json:github-pat:30,
github-pat,,report.json,,ghp_1234567890abcdef1234567890abcdef1234,ghp_1234567890abcdef1234567890abcdef1234,49,49,14,53,,,,,report.json:github-pat:49,
github-pat,,report.json,,ghp_1234567890abcdef1234567890abcdef1234,ghp_1234567890abcdef1234567890abcdef1234,50,50,15,54,,,,,report.json:github-pat:50,
generic-api-key,,report.json,,ghp_1234567890abcdef1234567890abcdef12345678,"GITHUB_TOKEN=ghp_1234567890abcdef1234567890abcdef12345678""",29,29,14,71,,,,,report.json:generic-api-key:29,
generic-api-key,,report.json,,ghp_1234567890abcdef1234567890abcdef12345678,"Secret"": ""ghp_1234567890abcdef1234567890abcdef12345678""",30,30,5,59,,,,,report.json:generic-api-key:30,
github-pat,,fake-secrets.env,,ghp_1234567890abcdef1234567890abcdef1234,ghp_1234567890abcdef1234567890abcdef1234,6,6,15,54,,,,,fake-secrets.env:github-pat:6,
generic-api-key,,fake-secrets.env,,ghp_1234567890abcdef1234567890abcdef12345678,GITHUB_TOKEN=ghp_1234567890abcdef1234567890abcdef12345678,6,6,2,58,,,,,fake-secrets.env:generic-api-key:6,
sidekiq-secret,,README.md,,cafebabe:deadbeef,"BUNDLE_ENTERPRISE__CONTRIBSYS__COM=cafebabe:deadbeef""",50,50,23,75,,,,,README.md:sidekiq-secret:50,
github-pat,,report.sarif,,ghp_123456789012345678901234567890123456,ghp_123456789012345678901234567890123456,1275,1275,21,60,,,,,report.sarif:github-pat:1275,
github-pat,,report.sarif,,ghp_1234567890abcdef1234567890abcdef1234,ghp_1234567890abcdef1234567890abcdef1234,1309,1309,21,60,,,,,report.sarif:github-pat:1309,
github-pat,,report.sarif,,ghp_1234567890abcdef1234567890abcdef1234,ghp_1234567890abcdef1234567890abcdef1234,1343,1343,21,60,,,,,report.sarif:github-pat:1343,
github-pat,,report.sarif,,ghp_1234567890abcdef1234567890abcdef1234,ghp_1234567890abcdef1234567890abcdef1234,1377,1377,21,60,,,,,report.sarif:github-pat:1377,
github-pat,,report.sarif,,ghp_1234567890abcdef1234567890abcdef1234,ghp_1234567890abcdef1234567890abcdef1234,1411,1411,21,60,,,,,report.sarif:github-pat:1411,
github-pat,,report.sarif,,ghp_123456789012345678901234567890123456,ghp_123456789012345678901234567890123456,1445,1445,21,60,,,,,report.sarif:github-pat:1445,
github-pat,,report.sarif,,ghp_123456789012345678901234567890123456,ghp_123456789012345678901234567890123456,1479,1479,21,60,,,,,report.sarif:github-pat:1479,
github-pat,,report.sarif,,ghp_1234567890abcdef1234567890abcdef1234,ghp_1234567890abcdef1234567890abcdef1234,1513,1513,21,60,,,,,report.sarif:github-pat:1513,
github-pat,,report.sarif,,ghp_1234567890abcdef1234567890abcdef1234,ghp_1234567890abcdef1234567890abcdef1234,1547,1547,21,60,,,,,report.sarif:github-pat:1547,
github-pat,,report.sarif,,ghp_1234567890abcdef1234567890abcdef1234,ghp_1234567890abcdef1234567890abcdef1234,1581,1581,21,60,,,,,report.sarif:github-pat:1581,
github-pat,,report.sarif,,ghp_1234567890abcdef1234567890abcdef1234,ghp_1234567890abcdef1234567890abcdef1234,1615,1615,21,60,,,,,report.sarif:github-pat:1615,
